MMSI,Timestamp,Distance(km),Speed(km/h)
228000000,27/01/2025 14:43:48,95.30174918515556,5718.104951109333
228000000,27/01/2025 14:43:57,95.33765518654982,5720.259311192989
228000000,27/01/2025 14:43:59,95.34363322414605,5720.617993448763
228000000,27/01/2025 14:44:06,95.37741187761388,5722.644712656833
228000000,27/01/2025 14:44:09,95.38220281405265,5722.932168843159
228000000,27/01/2025 14:44:18,95.43006009705272,5725.803605823163
228000000,27/01/2025 14:44:18,95.43546713063051,5726.128027837831
228000000,27/01/2025 14:44:27,95.47683012759265,5728.609807655559
228000000,27/01/2025 14:44:29,95.48329623687277,5728.9977742123665
228000000,27/01/2025 14:44:36,95.51750461521362,5731.050276912818
228000000,27/01/2025 14:44:38,95.522790093186,5731.367405591161
228000000,27/01/2025 14:44:48,95.57549507176815,5734.529704306089
228000000,27/01/2025 14:44:48,95.58073840851824,5734.844304511094
228000000,27/01/2025 14:44:57,95.62026204307534,5737.21572258452
228000000,27/01/2025 14:44:59,95.62629488763126,5737.577693257876
228000000,27/01/2025 14:45:06,95.66630230532031,5739.978138319219
228000000,27/01/2025 14:45:09,95.67082216040629,5740.249329624377
228000000,27/01/2025 14:45:18,95.71950450582898,5743.1702703497385
228000000,27/01/2025 14:45:18,95.72468341265864,5743.481004759518
228000000,27/01/2025 14:45:27,95.77334697776779,5746.400818666068
228000000,27/01/2025 14:45:29,95.77922562713988,5746.753537628393
228000000,27/01/2025 14:45:36,95.81405657226004,5748.843394335603
228000000,27/01/2025 14:45:38,95.81937149850691,5749.162289910415
228000000,27/01/2025 14:45:48,95.86628646611003,5751.977187966601
228000000,27/01/2025 14:45:48,95.87168828484204,5752.301297090522
228000000,27/01/2025 14:45:57,95.91411744086173,5754.847046451704
228000000,27/01/2025 14:45:59,95.92078650657731,5755.247190394639
228000000,27/01/2025 14:46:06,95.95689914822415,5757.413948893449
228000000,27/01/2025 14:46:09,95.96145291064818,5757.687174638891
228000000,27/01/2025 14:46:18,96.00623489155835,5760.374093493501
228000000,27/01/2025 14:46:18,96.0116726364811,5760.700358188866
228000000,27/01/2025 14:46:27,96.04320521081806,5762.592312649083
228000000,27/01/2025 14:46:29,96.04914001878876,5762.948401127326
228000000,27/01/2025 14:46:37,96.08078469098055,5764.847081458833
228000000,27/01/2025 14:46:39,96.0861482632918,5765.168895797508
228000000,27/01/2025 14:46:47,96.11562940347387,5766.937764208433
228000000,27/01/2025 14:46:48,96.12050115733336,5767.230069440002
228000000,27/01/2025 14:46:57,96.14677821554423,5768.806692932654
228000000,27/01/2025 14:46:59,96.15365876311361,5769.219525786817
228000000,27/01/2025 14:47:06,96.17419809392035,5770.4518856352215
228000000,27/01/2025 14:47:09,96.17911268818618,5770.7467612911705
228000000,27/01/2025 14:47:16,96.19841811055964,5771.905086633578
228000000,27/01/2025 14:47:18,96.20440363767871,5772.264218260722
228000000,27/01/2025 14:47:27,96.22117319840015,5773.27039190401
228000000,27/01/2025 14:47:29,96.2270789352358,5773.624736114148
228000000,27/01/2025 14:47:47,96.2527205199242,5775.163231195452
228000000,27/01/2025 14:47:48,96.25800374498407,5775.480224699044
228000000,27/01/2025 14:47:57,96.26570821689087,5775.942493013453
228000000,27/01/2025 14:48:09,96.28528855190963,5777.117313114578
228000000,27/01/2025 14:48:16,96.29399732526599,5777.6398395159595
228000000,27/01/2025 14:48:18,96.29899831886188,5777.939899131713
228000000,27/01/2025 14:48:27,96.30739871351635,5778.443922810981
228000000,27/01/2025 14:48:29,96.31325083344075,5778.795050006445
228000000,27/01/2025 14:48:37,96.32167045775857,5779.300227465515
228000000,27/01/2025 14:48:39,96.32748766056976,5779.649259634186
228000000,27/01/2025 14:48:47,96.33646204292529,5780.187722575518
228000000,27/01/2025 14:48:49,96.3423904858699,5780.543429152194
228000000,27/01/2025 14:48:57,96.35197402523745,5781.118441514247
228000000,27/01/2025 14:48:58,96.35745886097064,5781.447531658238
228000000,27/01/2025 14:49:08,96.36743373428322,5782.046024056994
228000000,27/01/2025 14:49:09,96.37364904181565,5782.418942508939
228000000,27/01/2025 14:49:16,96.38179796172618,5782.907877703571
228000000,27/01/2025 14:49:18,96.38648343218024,5783.189005930814
228000000,27/01/2025 14:49:27,96.39598211016875,5783.758926610125
228000000,27/01/2025 14:49:29,96.40220278008928,5784.132166805357
228000000,27/01/2025 14:49:37,96.41232682344726,5784.739609406835
228000000,27/01/2025 14:49:39,96.4178277407677,5785.069664446062
228000000,27/01/2025 14:49:47,96.42751658304779,5785.650994982868
228000000,27/01/2025 14:49:49,96.43373101423305,5786.023860853983
228000000,27/01/2025 14:49:57,96.44343000044178,5786.605800026507
228000000,27/01/2025 14:49:58,96.44855145190374,5786.913087114224
228000000,27/01/2025 14:50:08,96.45930553822566,5787.55833229354
228000000,27/01/2025 14:50:09,96.46609862936158,5787.965917761695
228000000,27/01/2025 14:50:16,96.47397889614878,5788.438733768927
228000000,27/01/2025 14:50:18,96.47900473314625,5788.740283988775
228000000,27/01/2025 14:50:27,96.48982130426239,5789.389278255743
228000000,27/01/2025 14:50:29,96.49686077715008,5789.811646629005
228000000,27/01/2025 14:50:37,96.50610452163325,5790.366271297995
228000000,27/01/2025 14:50:39,96.51202240771518,5790.721344462911
228000000,27/01/2025 14:50:47,96.52184670770606,5791.310802462363
228000000,27/01/2025 14:50:58,96.54366021314816,5792.61961278889
228000000,27/01/2025 14:51:08,96.55465114499576,5793.279068699746
228000000,27/01/2025 14:51:09,96.56094413587574,5793.656648152545
228000000,27/01/2025 14:51:16,96.56981403600943,5794.188842160566
228000000,27/01/2025 14:51:18,96.57462744554701,5794.47764673282
228000000,27/01/2025 14:51:27,96.58435201880677,5795.061121128406
228000000,27/01/2025 14:51:29,96.59133396223987,5795.480037734393
228000000,27/01/2025 14:51:37,96.60126973363015,5796.076184017809
228000000,27/01/2025 14:51:38,96.608224296606,5796.4934577963595
228000000,27/01/2025 14:51:47,96.61825800428458,5797.095480257075
228000000,27/01/2025 14:51:49,96.62603958255542,5797.562374953325
228000000,27/01/2025 14:52:08,96.65242062385597,5799.1452374313585
228000000,27/01/2025 14:52:09,96.65927186994311,5799.556312196587
228000000,27/01/2025 14:52:16,96.66745656712287,5800.047394027372
228000000,27/01/2025 14:52:18,96.67229513731205,5800.337708238723
228000000,27/01/2025 14:52:27,96.68327349552244,5800.996409731347
228000000,27/01/2025 14:52:29,96.69091160641356,5801.454696384814
228000000,27/01/2025 14:52:37,96.70125502311437,5802.0753013868625
228000000,27/01/2025 14:52:38,96.70729828621707,5802.437897173024
228000000,27/01/2025 14:52:47,96.71735734203251,5803.041440521951
228000000,27/01/2025 14:52:49,96.72432359728579,5803.459415837147
228000000,27/01/2025 14:52:56,96.73391736939698,5804.035042163819
228000000,27/01/2025 14:52:58,96.74009967774583,5804.40598066475
228000000,27/01/2025 14:53:08,96.75278538268657,5805.167122961194
228000000,27/01/2025 14:53:09,96.75996910787336,5805.598146472402
228000000,27/01/2025 14:53:16,96.76854052786628,5806.112431671977
228000000,27/01/2025 14:53:18,96.77334255908585,5806.400553545151
228000000,27/01/2025 14:53:27,96.78543390251097,5807.126034150659
228000000,27/01/2025 14:53:29,96.7923199674222,5807.539198045332
228000000,27/01/2025 14:53:37,96.80385634551773,5808.231380731064
228000000,27/01/2025 14:53:38,96.81114772272333,5808.6688633634
228000000,27/01/2025 14:53:47,96.82263951865403,5809.358371119241
228000000,27/01/2025 14:53:48,96.82940117248498,5809.764070349099
228000000,27/01/2025 14:53:56,96.83952895406871,5810.371737244122
228000000,27/01/2025 14:53:59,96.84612817647138,5810.767690588283
228000000,27/01/2025 14:54:08,96.85958621742986,5811.575173045792
228000000,27/01/2025 14:54:09,96.86604601853303,5811.962761111981
228000000,27/01/2025 14:54:16,96.87624230072518,5812.574538043511
228000000,27/01/2025 14:54:18,96.88171384788188,5812.902830872913
228000000,27/01/2025 14:54:26,96.8921091227717,5813.526547366302
228000000,27/01/2025 14:54:28,96.89863572967843,5813.918143780706
228000000,27/01/2025 14:54:37,96.91076910256847,5814.6461461541085
228000000,27/01/2025 14:54:38,96.91741751436876,5815.045050862126
228000000,27/01/2025 14:54:47,96.92870781831557,5815.722469098934
228000000,27/01/2025 14:54:48,96.93565482709054,5816.139289625433
228000000,27/01/2025 14:54:56,96.94581887351087,5816.749132410652
228000000,27/01/2025 14:54:59,96.95286631196086,5817.171978717652
228000000,27/01/2025 14:55:08,96.96519583125652,5817.911749875391
228000000,27/01/2025 14:55:09,96.97090850125875,5818.254510075525
228000000,27/01/2025 14:55:17,96.98315536555369,5818.989321933222
228000000,27/01/2025 14:55:18,96.98829531051565,5819.297718630939
228000000,27/01/2025 14:55:26,96.9974503289848,5819.847019739088
228000000,27/01/2025 14:55:28,97.00396378638662,5820.237827183198
228000000,27/01/2025 14:55:37,97.01649228940722,5820.989537364434
228000000,27/01/2025 14:55:38,97.02259419578867,5821.355651747321
228000000,27/01/2025 14:55:47,97.03419182983481,5822.051509790089
228000000,27/01/2025 14:55:48,97.04123297355856,5822.473978413514
228000000,27/01/2025 14:55:56,97.05146222141198,5823.0877332847185
228000000,27/01/2025 14:55:59,97.05806944158023,5823.4841664948135
228000000,27/01/2025 14:56:08,97.07204307098776,5824.322584259266
228000000,27/01/2025 14:56:09,97.077799837233,5824.66799023398
228000000,27/01/2025 14:56:17,97.08945502623324,5825.367301573994
228000000,27/01/2025 14:56:18,97.09555992215941,5825.733595329565
